,school
0,college
1,homework
2,home work
3,exam
4,math test
5,grade
6,final exam
7,A\+
8,exams
9,grades
10,schools
11,university
12,teacher(s?)
13,examination
14,teachers
15,professor
16,examinations
17,prof.
18,colleges
19,prof
20,lecturer
21,univ.
22,study
23,studies
24,an A
25,semester
26,universities
27,semesters
28,studying
29,univ
30,studied
31,GPA
32,graduate
33,graduated
34,undergraduate
35,graduating
36,graduates
37,undergraduates
38,graduation
39,bachelors
40,honor roll
41,report card
42,a B
43,bachelor's
44,degree
45,classes
